eoa,pattern,coin,hl_side,pm_dir,question
0x00dfef5239af8aa2a260de92efc45898e0390c4f,HL: Long   |  PM: Bearish,GOOGL,Long,Bearish,Will Google (GOOGL) hit $290 before 2026??
0x00dfef5239af8aa2a260de92efc45898e0390c4f,HL: Long   |  PM: Bearish,GOOGL,Long,Bearish,Will Google (GOOGL) hit $285 before 2026??
0x00dfef5239af8aa2a260de92efc45898e0390c4f,HL: Long   |  PM: Bearish,GOOGL,Long,Bearish,Will Google (GOOGL) hit $275 before 2026??
0x2203e88248a59eec300f2bffecceabe29e0986b4,HL: Long   |  PM: Bearish,AMZN,Long,Bearish,Will Amazon be the largest company in the world by market cap on March 31?
0x2203e88248a59eec300f2bffecceabe29e0986b4,HL: Long   |  PM: Bearish,NVDA,Long,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?
0x238ae641390a55969271161401880bb154b06ebe,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA be the second-largest company in the world by market cap on December 31?
0x25484cb3130cfd833c8751266ab95d4c2993700b,HL: Long   |  PM: Bearish,TSLA,Long,Bearish,Musk out as Tesla CEO in 2025?
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $185–190 in 2025?
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $190–195 in 2025?
0x2b64ea69157d6c6ddfe90a906f2eb235d25b21b6,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $195–200 in 2025?
0x2b722ee9a9932ead52af0586fdb545eb8758de68,HL: Long   |  PM: Bearish,GOOGL,Long,Bearish,Will Google (GOOGL) hit $335 before 2026??
0x2b722ee9a9932ead52af0586fdb545eb8758de68,HL: Long   |  PM: Bearish,GOOGL,Long,Bullish,Will Google (GOOGL) close at $310–325 in 2025?
0x392ae4c105bd1ae95ffec05eefe645be3b6e6503,HL: Long   |  PM: Bearish,GOOGL,Long,Bearish,Sundar Pichai out as Google CEO in 2025?
0x41eb8d19ae61af581833c9e9cbdb25785fc6c08f,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) close at $185–190 in 2025?
0x4f7f36299e4ff4f54352cdd537e4f8d86cb2386c,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?
0x4fe2e743da6e8d1aa0c9ed5489d8c2c9b5f96c87,HL: Long   |  PM: Bearish,GOOGL,Long,Bearish,Will Google (GOOGL) hit $355 before 2026??
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?
